                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.9212,                 1.6613,                 2.0303,                 1.9167,                 2.0188,                 1.9194,                0.52489,                0.56089,                 0.5071,                0.26107,                 1.9012,                 1.4739,                 2.1173,                 1.8286,                  1.781,                 2.0072,              0.0032278,              0.0032278,              0.0032278
                     34,                 1.9802,                 1.7373,                 2.1054,                 1.9232,                 2.0452,                 1.9322,                0.83826,                0.41388,                0.55614,                0.27606,                 1.8682,                 1.4789,                 2.1039,                 1.7853,                 1.7792,                 1.9871,              0.0029424,              0.0029424,              0.0029424
                     35,                 1.9569,                 1.6714,                 2.0737,                 1.9477,                 1.9525,                 1.8894,                0.78252,                 0.4772,                0.55245,                0.26843,                 1.9495,                 1.7197,                 2.1445,                 1.8594,                 1.9766,                  2.006,              0.0026653,              0.0026653,              0.0026653
                     36,                 1.9364,                 1.6679,                 2.0951,                 1.8924,                 2.0037,                 1.9117,                0.78674,                0.47074,                0.58725,                0.27624,                 1.8758,                 1.4898,                 2.0856,                 1.7561,                 1.7173,                 1.9536,              0.0023977,              0.0023977,              0.0023977
                     37,                 1.9474,                 1.6782,                 2.1165,                 1.9406,                  1.959,                  1.939,                 0.6236,                0.49216,                0.57058,                0.28702,                 1.9126,                 1.4677,                 2.1112,                 1.7611,                  1.751,                  1.948,              0.0021405,              0.0021405,              0.0021405
                     38,                 1.8869,                  1.627,                  2.016,                 1.9051,                 1.8671,                 1.8755,                0.71518,                0.42134,                0.52834,                0.26975,                 1.8928,                 1.5708,                 2.1129,                 1.7578,                 1.8214,                 1.9923,              0.0018948,              0.0018948,              0.0018948
                     39,                 1.8684,                 1.6856,                 2.0274,                 1.8819,                  1.881,                 1.8709,                0.57466,                0.55511,                 0.5533,                0.27036,                 1.8752,                 1.5141,                 2.1267,                 1.7998,                 1.7685,                 1.9868,              0.0016615,              0.0016615,              0.0016615
                     40,                  1.907,                 1.6153,                 2.0132,                 1.8885,                 1.8405,                 1.8627,                0.52111,                0.60733,                0.61488,                0.30269,                 1.8861,                 1.4105,                 2.1055,                 1.8135,                 1.6483,                 1.9676,              0.0014416,              0.0014416,              0.0014416
                     41,                 1.8877,                 1.5978,                 2.0922,                 1.8647,                 1.8697,                 1.9601,                0.48624,                0.59458,                0.60821,                0.30385,                 1.8881,                 1.3803,                  2.092,                 1.8253,                 1.5641,                 2.0261,               0.001236,               0.001236,               0.001236
                     42,                 1.8877,                 1.5255,                 2.1058,                 1.9058,                 1.7473,                  1.961,                0.63176,                0.60985,                0.62126,                0.31034,                 1.8795,                 1.3695,                 2.0913,                 1.8465,                 1.5596,                 2.0196,              0.0010454,              0.0010454,              0.0010454
                     43,                 1.8308,                 1.4649,                 2.0245,                 1.8039,                 1.7266,                 1.8845,                0.55156,                0.57115,                0.65845,                0.32336,                 1.8424,                 1.3773,                 2.0655,                 1.7775,                 1.5679,                 1.9761,             0.00087058,             0.00087058,             0.00087058
                     44,                 1.7926,                 1.4128,                  2.021,                 1.7998,                 1.6428,                 1.9046,                0.69002,                  0.561,                0.65459,                0.33736,                  1.813,                 1.3775,                 2.0551,                 1.7572,                 1.5521,                 1.9523,             0.00071228,             0.00071228,             0.00071228
                     45,                 1.8414,                 1.4164,                 2.0598,                 1.7846,                 1.6715,                 1.9504,                0.63174,                0.67423,                0.68883,                 0.3486,                 1.8101,                 1.3213,                 2.0684,                 1.7385,                 1.5368,                 1.9581,             0.00057111,             0.00057111,             0.00057111
                     46,                 1.8175,                 1.4275,                 2.0199,                 1.7838,                 1.6388,                  1.902,                0.56959,                0.69958,                0.67269,                0.33109,                  1.791,                 1.2925,                 2.0574,                 1.7687,                 1.4834,                 1.9739,             0.00044761,             0.00044761,             0.00044761
                     47,                 1.8637,                 1.4132,                 2.0592,                 1.8299,                 1.6375,                 1.9533,                  0.558,                0.66867,                0.66267,                0.32846,                 1.7906,                 1.2664,                 2.0489,                 1.7727,                 1.4965,                 1.9785,             0.00034227,             0.00034227,             0.00034227
                     48,                 1.7825,                 1.3446,                 2.0213,                 1.7416,                 1.6048,                 1.8769,                 0.5326,                 0.6851,                0.67867,                0.33541,                 1.7977,                 1.2455,                  2.047,                 1.7885,                 1.4634,                 1.9914,             0.00025551,             0.00025551,             0.00025551
                     49,                 1.8036,                 1.3402,                 2.0246,                 1.7791,                 1.5693,                 1.9109,                0.56267,                0.69171,                0.69804,                0.35001,                  1.797,                 1.2391,                 2.0446,                 1.7838,                 1.4553,                 1.9776,             0.00018768,             0.00018768,             0.00018768
                     50,                 1.8032,                 1.3515,                  2.008,                 1.7419,                 1.5631,                 1.8711,                0.57551,                0.67832,                0.70965,                0.36011,                 1.7769,                 1.2421,                 2.0217,                 1.8026,                 1.4353,                 1.9877,             0.00013903,             0.00013903,             0.00013903
